Firewall,License,Cost and usage limits,OS
Avast Internet Security,,Paid,Microsoft Windows
Comodo Internet Security,,Free,"Windows 10/8.1/8/7/Vista x86/x64, XP x86"
Intego VirusBarrier,,Paid,Mac OS X 10.5 or later; on an Xserve
Kaspersky Internet Security,,Paid / 30 day trial,Windows unknown versions x86/x64
Lavasoft Personal Firewall,,Paid,Windows unknown versions x86/x64
Microsoft Forefront Threat Management Gateway,,Discontinued,Windows unknown versions x64
NetLimiter,,Paid,"Windows 10, 8, 7 x64"
Norton 360,,Paid,Windows unknown versions x86/x64
Online Armor Personal Firewall,,Discontinued,Windows unknown versions x86/x64
Outpost Firewall Pro,,Discontinued,"Windows 10, 8, 7, Vista, XP x86/x64"
PC Tools Firewall Plus,,Discontinued,Windows unknown versions x86/x64
Sygate Personal Firewall,,Discontinued,Windows unknown versions x86
Windows Firewall,,Included with Windows XP SP2 and later,Windows versions x86/x64
ZoneAlarm,,Free / Paid,"Windows 10/8.1/8/7/Vista x86/x64, XP x86"
Netfilter/iptables,GPL,Free,Linux kernel module
nftables,GPL,Free,Linux kernel (>=3.13) module
Shorewall,GPL,Free,Linux-based appliance
PeerBlock,GPL,Free,"Windows 8/8.1, 7, Vista x86/x64"
NPF,BSD,Free,NetBSD kernel module
PF,BSD,Free,*BSD kernel module
ipfirewall,BSD,Free,*BSD package
IPFilter,GPLv2,Free,Package for multiple UNIX-like operating systems
